scenario_id,scenario_name,npv_usd,cumulative_probability
mc_base,Monte Carlo Base,-7706982862.98618,0.0421
mc_base,Monte Carlo Base,-7706012847.1839075,0.0422
mc_base,Monte Carlo Base,-7702095702.631297,0.0423
mc_base,Monte Carlo Base,-7699941621.917827,0.0424
mc_base,Monte Carlo Base,-7695580010.9947605,0.0425
mc_base,Monte Carlo Base,-7691661766.050009,0.0426
mc_base,Monte Carlo Base,-7674453213.603148,0.0427
mc_base,Monte Carlo Base,-7667977066.81869,0.0428
mc_base,Monte Carlo Base,-7667060898.269415,0.0429
mc_base,Monte Carlo Base,-7659677694.364645,0.043
mc_base,Monte Carlo Base,-7659002354.853399,0.0431
mc_base,Monte Carlo Base,-7654900181.649393,0.0432
mc_base,Monte Carlo Base,-7650590541.69838,0.0433
mc_base,Monte Carlo Base,-7649476870.121137,0.0434
mc_base,Monte Carlo Base,-7640066571.52383,0.0435
mc_base,Monte Carlo Base,-7639149321.580165,0.0436
mc_base,Monte Carlo Base,-7636228092.444901,0.0437
mc_base,Monte Carlo Base,-7629461444.873363,0.0438
mc_base,Monte Carlo Base,-7617247520.185901,0.0439
mc_base,Monte Carlo Base,-7616254802.555157,0.044
mc_base,Monte Carlo Base,-7609156116.319251,0.0441
mc_base,Monte Carlo Base,-7604683795.511222,0.0442
mc_base,Monte Carlo Base,-7593113498.665644,0.0443
mc_base,Monte Carlo Base,-7592483233.078458,0.0444
mc_base,Monte Carlo Base,-7589271405.669441,0.0445
mc_base,Monte Carlo Base,-7571888745.158363,0.0446
mc_base,Monte Carlo Base,-7571344624.025257,0.0447
mc_base,Monte Carlo Base,-7567631297.696683,0.0448
mc_base,Monte Carlo Base,-7556059074.446943,0.0449
mc_base,Monte Carlo Base,-7555972023.3731365,0.045
mc_base,Monte Carlo Base,-7548582838.148316,0.0451
mc_base,Monte Carlo Base,-7546069740.629365,0.0452
mc_base,Monte Carlo Base,-7543559160.051057,0.0453
mc_base,Monte Carlo Base,-7543303452.411754,0.0454
mc_base,Monte Carlo Base,-7541135382.992271,0.0455
mc_base,Monte Carlo Base,-7539142907.959534,0.0456
mc_base,Monte Carlo Base,-7537105943.487529,0.0457
mc_base,Monte Carlo Base,-7535279789.247351,0.0458
mc_base,Monte Carlo Base,-7532299228.398149,0.0459
mc_base,Monte Carlo Base,-7514528729.082912,0.046
mc_base,Monte Carlo Base,-7507913426.949154,0.0461
mc_base,Monte Carlo Base,-7504142664.011089,0.0462
mc_base,Monte Carlo Base,-7496523831.409863,0.0463
mc_base,Monte Carlo Base,-7466414740.989354,0.0464
mc_base,Monte Carlo Base,-7462908636.832145,0.0465
mc_base,Monte Carlo Base,-7460003407.44946,0.0466
mc_base,Monte Carlo Base,-7458746870.06011,0.0467
mc_base,Monte Carlo Base,-7455352689.133705,0.0468
mc_base,Monte Carlo Base,-7453866546.342394,0.0469
mc_base,Monte Carlo Base,-7449707461.14674,0.047
mc_base,Monte Carlo Base,-7447408510.331453,0.0471
mc_base,Monte Carlo Base,-7446178652.945063,0.0472
mc_base,Monte Carlo Base,-7439545252.394037,0.0473
mc_base,Monte Carlo Base,-7438668869.582336,0.0474
mc_base,Monte Carlo Base,-7437946873.448247,0.0475
mc_base,Monte Carlo Base,-7437696067.809637,0.0476
mc_base,Monte Carlo Base,-7432671028.29893,0.0477
mc_base,Monte Carlo Base,-7429761950.428025,0.0478
